AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
;0;;;;0,263;34,50980377;37;100;857;8,31000042;21;0,1051;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;0,5886;34,50980377;37;100;857;8,949999809;21;0,656;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;0,9271;34,50980377;37;100;855;8,670000076;21;1,3736;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;1,2814;34,11764908;37;100;858;8,880000114;20;2,1463;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;1,6305;34,50980377;37;100;858;8,479999542;21;2,9495;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;1,9808;34,50980377;37;100;857;9,050000191;21;3,7696;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;2,328;34,90196228;37;100;856;8,739999771;21;4,607;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;2,6675;34,11764908;37;100;855;8,81000042;21;5,4444;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
;0;;;;3,0232;34,90196228;37;100;858;8,859999657;21;6,2862;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;;;;3,3791;34,90196228;37;100;857;8,739999771;21;7,135;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;;;;3,7352;34,50980377;37;100;858;8,380000114;21;7,9863;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-3,5;2,026619911;;;2,026619911;4,0837;34,50980377;37;100;859;8,380000114;21;8,8433;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-3,90002442;2,476979733;;;0,450359822;4,4401;34,50980377;37;100;860;8,619999886;21;9,6981;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-4,20001221;2,70216012;;;0,225180387;4,7887;34,11764908;37;100;858;8,619999886;21;10,5654;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-4,40002442;1,35108006;;;-1,35108006;5,1413;34,50980377;37;100;859;8,840000153;21;11,4223;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-4,20001221;1,35108006;;;0;5,4979;32,94117737;37;100;852;8,81000042;21;12,2799;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-4,5;1,12590003;;;-0,22518003;5,8857;35,29411697;37;100;817;8,739999771;21;13,119;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-4,7999878;1,12590003;;;0;6,2423;32,94117737;38;100;951;8,079999924;21;13,9779;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-5,20001221;0;;;-1,12590003;6,5795;35,68627548;38;100;920;9,489999771;21;14,8449;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-5,20001221;0;;;0;6,9362;34,50980377;38;100;853;9,289999962;21;15,7084;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1,70001221;0;;;0;7,0183;39,60784531;38;100;854;8,470000267;21;16,4669;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1,29998779;0;;;0;7,0416;42,74509811;38;100;885;8,520000458;21;16,7756;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1;0;;;0;7,0636;44,31372452;38;100;884;8,779999733;21;16,9178;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,79998779;0;;;0;7,0544;41,5686264;38;100;845;8,81000042;21;17,0086;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1;0;;;0;7,0542;43,92156982;38;100;881;8,739999771;21;17,069;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,70001221;0;;;0;6,9944;47,05882263;38;100;817;8,909999847;21;17,1471;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1,30004882;1,801440001;;;1,801440001;6,9844;63,92156982;38;100;940;9,010000229;21;17,1733;;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,59997559;3,152519941;;;1,35107994;7,1457;28,62745094;38;100;1023;10,81000042;21;17,1299;89,43822479;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,5;1,801440001;;;-1,35107994;7,1662;31,37254906;38;101;850;8,829999924;21;17,144;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,09997559;0,45036;;;-1,351080001;7,2215;71,37255096;38;100;1096;11,30000019;21;17,1279;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,09997559;1,35108006;;;0,90072006;7,1636;54,11764908;38;101;1007;10,93000031;21;17,1671;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,20001221;2,026619911;;;0,675539851;7,1173;29,41176605;38;100;885;8,720000267;21;17,189;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002441;1,12590003;;;-0,900719881;7,0864;38,82352829;38;100;846;8,279999733;21;17,2017;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,70001221;1,12590003;;;0;6,9931;65,49019623;38;101;1165;11,65999985;20;17,2442;88,72938538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,90002441;1,35108006;;;0,22518003;7,04;61,17647171;38;101;1132;7,070000172;21;17,2123;68,32174683;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;2,026619911;;;0,675539851;7,0636;32,15686417;38;100;943;6,619999886;19;17,2066;69,44069672;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,69995118;0;;;-2,026619911;7,1182;36,07843018;38;100;885;11,31999969;19;17,1963;69,44069672;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,70001221;1,576259971;;;1,576259971;7,1494;49,41176605;38;101;869;6,619999886;19;17,1933;80,42784882;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,5;2,70216012;;;1,125900149;7,1417;23,13725471;39;100;940;5,869999886;21;17,1899;80,42784882;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,60003662;1,801440001;;;-0,900720119;7,0832;36,47058868;39;100;832;4,849999905;20;17,2169;80,42784882;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;0,22518;;;-1,576260001;7,0169;67,05882263;39;99;1119;4,849999905;19;17,2477;80,42784882;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,39996338;1,12590003;;;0,90072003;6,9857;61,17647171;39;100;1142;12;22;17,2862;77,64405823;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,39996338;7,205760002;;;6,079859972;6,9545;38,82352829;39;102;1389;10,89000034;21;17,2978;68,46104431;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,5;10,13309956;;;2,927339558;6,9467;32,94117737;39;101;1561;11,72999954;22;17,2978;61,26332092;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997558;3,828059673;8,147762758;25,31604513;-1,576260567;7,1411;46,27450943;42;99;899;6,199999809;19;16,9427;35,63587952;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,60003662;5,629499912;8,234081757;24,41171598;1,801440239;6,9776;56,47058868;42;101;1066;10,96000004;19;17,0199;36,04875183;SmoothCondition;LowCongestionCondition;EvenPaceStyle
