AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
;;;;;-0,0477;36,86274719;22;101;805;10,55000019;13;0,0236;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;;;;;-0,0911;37,64706039;22;101;811;10,47000027;13;0,0469;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,1335;37,25490189;22;102;809;10,60999966;13;0,0451;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,1734;36,47058868;22;102;808;10,72000027;13;0,0416;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,2131;36,07843018;22;101;809,5;10,72000027;13;0,0629;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,2395;36,07843018;22;102;808;10,57999992;13;0,0658;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,28;36,86274719;22;102;808,5;10,80000019;13;0,093;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,3181;36,07843018;22;102;806;10,65999985;13;0,1127;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
;0;;;;-0,361;38,03921509;22;102;805,5;10,57999992;13;0,1419;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-1,200004578;0;;;;-0,4084;37,64706039;22;102;762;9,859999657;13;0,1711;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-0,900001526;0;;;;-0,3758;57,64706039;22;102;787;10,32999992;13;0,074;;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-0,800003052;1,799999952;;;1,799999952;-0,4274;38,82352829;22;102;911;7,130000114;13;0,1019;117,9823303;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
0,400001526;2,699999809;;;0,899999857;-0,4108;43,13725662;22;102;794;6,409999847;13;0,0308;111,7085266;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
1,5;2,699999809;;;0;-0,4086;63,52941132;22;102;800;7,079999924;13;0,0263;85,77520752;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
1,200004578;2,699999809;;;0;-0,4109;51,76470566;22;102;830;7,050000191;13;0,0387;70,91544342;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-0,200004578;4,5;;;1,800000191;-0,5056;52,15686417;22;102;809,5;7,050000191;13;0,0642;70,91544342;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-0,700004578;5,399999619;;;0,899999619;-0,5661;42,74509811;23;102;820,5;7,019999981;13;0,1431;64,16274261;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-1,599998474;5,399999619;;;0;-0,6302;43,92156982;23;102;807,5;6,880000114;13;0,1803;60,06822205;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-1,399993896;5,399999619;;;0;-0,645;47,84313965;23;102;786;6,659999847;13;0,1719;59,30474091;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
-1,400001526;4,5;;;-0,899999619;-0,6607;50,98039246;23;102;803,5;6,190000057;13;0,1355;58,15629196;UnevenCondition;NormalCongestionCondition;EvenPaceStyle
